Material Type,Cost,Strength,Durability,Environmental Impact,Recyclability,Sustainability Rating
Concrete,153.74637578491564,97.42542918593448,20,High,Yes,Low
Steel,350.4848807546477,20.56079567353303,9,Medium,No,Medium
Steel,623.6166401657165,66.92097418300021,30,High,Yes,Low
Steel,783.9744471176855,13.251319235770543,42,High,Yes,Low
Wood,1453.7469290271333,85.95870623580298,33,High,No,Low
Steel,1306.6900127788924,28.175385743103423,8,Low,No,Low
Wood,417.2334981145803,39.686170731112114,16,High,Yes,Low
Concrete,1042.5485599245712,22.40475570479063,41,Low,No,Low
Concrete,1205.310059559722,12.278271263642214,34,Medium,Yes,Medium
Steel,485.4386461495533,11.235348414041034,36,High,No,Low
Concrete,733.3597505662489,36.90671392063622,49,Medium,Yes,Medium
Steel,1089.706778359538,63.62945357845153,9,Low,No,Low
Wood,860.7586477465877,32.10465537066679,37,Medium,Yes,Medium
Wood,1173.5060885935554,52.42447761612457,19,Medium,Yes,Medium
Concrete,828.5222249097119,56.76594524135534,32,Medium,No,Medium
Concrete,891.5449123200611,30.7168722271978,36,Low,No,Low
Steel,1077.4173450514447,14.718966004548026,8,Medium,No,Medium
Concrete,878.1504060960331,32.61435866329194,33,Low,No,Low
Concrete,1326.8952870331934,36.22891191436105,28,Medium,Yes,Medium
Wood,1051.0588895265817,88.41611294202033,22,Low,No,Low
Concrete,652.1426849361037,96.49772037051538,7,High,Yes,Low
Steel,1006.4989369936964,63.50459638560421,10,High,Yes,Low
Steel,789.5667853471601,81.08387296115878,36,High,Yes,Low
Steel,869.7206555546758,51.564103116491864,29,Low,Yes,High
Wood,906.4952626471136,70.70792913339741,31,High,Yes,Low
Concrete,1358.438422773341,68.5640190031923,37,High,No,Low
Steel,212.47866125885446,45.96037347974149,9,Low,No,Low
Concrete,1371.9599301477203,54.38436361568105,38,Medium,No,Medium
Concrete,201.36487185122277,27.30003743134534,14,High,Yes,Low
Wood,365.53969518944155,29.863486049070453,21,Low,Yes,High
Concrete,1093.7014586000714,86.96315421864395,5,Low,No,Low
Concrete,207.50497176319737,55.807433983648465,40,Low,No,Low
Wood,367.5709212381336,26.03035390384267,19,Medium,No,Medium
Concrete,1050.758229770749,72.80267480755538,16,High,No,Low
Wood,275.4445471916715,61.305091655475955,35,Low,Yes,High
Steel,301.80490068285667,13.339391721625788,37,Low,Yes,High
Wood,1170.530780349362,44.32805634936305,36,Medium,No,Medium
Wood,727.9543992092424,94.79848070386136,48,Low,Yes,High
Concrete,1376.1283761681354,60.54060550631776,30,Low,No,Low
Steel,364.91781467924665,70.97135178148532,18,Low,No,Low
Wood,1210.0437277264703,75.7841257126338,24,High,No,Low
Steel,818.0031663979029,74.2009227156404,32,Low,No,Low
Steel,413.7324195365529,47.661025351519335,22,Medium,Yes,Medium
Steel,507.830833822894,41.70449244162076,11,High,Yes,Low
Steel,367.3876046543736,65.00241506072854,31,Medium,Yes,Medium
Steel,974.1421818268955,66.33100911459556,32,High,No,Low
Concrete,648.7622259510648,82.13042449022194,9,High,No,Low
Wood,297.63965120853817,86.81893522131486,24,Low,No,Low
Steel,230.26743999729263,81.69319506488799,20,Medium,Yes,Medium
Wood,860.8706938387654,74.9034794875399,39,Low,No,Low
Steel,1070.707690727796,24.13234586744332,43,Medium,No,Medium
Steel,566.4812692004056,79.93593506463486,13,Medium,Yes,Medium
Steel,182.68137929694362,60.87831825470337,20,Low,No,Low
Steel,161.31625295718723,10.58749939327699,46,Medium,No,Medium
Wood,278.60008606581334,35.393850976526494,31,Low,No,Low
Wood,983.5843930348111,46.109903015656926,45,Low,Yes,High
Wood,695.5829058969679,37.83073281628657,14,Low,No,Low
Steel,1079.7533266882988,88.65223597843234,34,Medium,Yes,Medium
Wood,576.6294268047051,33.25270712691086,23,High,No,Low
Wood,1346.878180224504,81.29655502315975,6,Low,Yes,High
Steel,287.6785914861738,96.9071285728763,9,High,No,Low
Concrete,293.87289770738676,76.81371307889329,43,Medium,No,Medium
Concrete,922.8301968297019,68.64396620539978,41,High,No,Low
Wood,1266.344618091883,67.40758778503613,33,Medium,No,Medium
Wood,636.8968547493056,51.075062990782115,45,Medium,Yes,Medium
Wood,1155.5627442161444,26.31666665048512,11,High,Yes,Low
Wood,1432.8892849253132,12.759060258312559,33,Low,No,Low
Wood,843.448425955999,34.37329640187915,34,Medium,Yes,Medium
Concrete,1486.1186149069347,75.77608168701444,43,Medium,No,Medium
Wood,1488.042026254676,39.27354108148667,11,High,Yes,Low
Wood,1210.4724439504128,63.877716631347475,35,Low,Yes,High
Concrete,393.70155109789096,49.60772059333878,23,High,Yes,Low
Steel,755.1277646083028,79.89689104737401,17,Low,No,Low
Concrete,1187.4133033143585,13.146494913739337,43,Low,No,Low
Concrete,1423.4520657042017,37.69515509899472,11,Low,Yes,High
Concrete,1388.38936987753,87.3551357707329,14,Low,No,Low
Concrete,1071.6261036004498,85.43971102928656,32,High,No,Low
Concrete,715.1623830014963,71.87235071709556,29,Medium,Yes,Medium
Concrete,1467.9999085177592,29.300868514777825,8,Medium,Yes,Medium
Concrete,581.5995950851427,94.28933867997654,42,Medium,Yes,Medium
Concrete,669.3362121249033,48.122621062500116,43,High,No,Low
Steel,1115.7705833226219,46.2510089211959,47,Low,No,Low
Concrete,162.01470355181453,21.140062106152968,45,Medium,No,Medium
Concrete,1063.116629842144,98.21860474739715,33,High,No,Low
Wood,898.1060231946407,52.89683931087329,6,Medium,No,Medium
Wood,1240.7558291104242,65.71445747035597,48,Medium,No,Medium
Concrete,727.73091633038,27.614124659457723,33,Low,No,Low
Wood,1130.6137967159593,13.301734532807181,9,High,No,Low
Concrete,1434.7503421574438,50.04738584555809,30,Medium,No,Medium
Concrete,1277.7437195446685,93.55405621509058,10,High,No,Low
Concrete,1175.6566325720219,16.12228157549108,26,Medium,Yes,Medium
Steel,190.18462881307818,41.704671855356374,32,High,Yes,Low
Concrete,1489.7418564058544,62.7535161166218,19,Medium,Yes,Medium
Steel,1290.023592253697,12.535859949044275,23,High,No,Low
Wood,1289.538352960171,69.65026454790285,40,High,No,Low
Steel,376.00471392207925,19.68655414702739,14,High,Yes,Low
Wood,1399.9945917931072,94.82994681163783,8,High,No,Low
Steel,476.60017696438825,11.16205284193201,9,High,No,Low
Steel,259.436598354735,10.90670510219646,46,High,No,Low
Steel,888.2847911660691,22.158707115650607,25,High,Yes,Low
Concrete,914.4172985064426,71.65285007605175,34,High,Yes,Low
Wood,849.6387075574728,61.18712606649519,32,Low,No,Low
Steel,581.7500077217404,95.01459197461574,31,Medium,Yes,Medium
Wood,593.7570756490234,82.55729527513581,16,Low,No,Low
Wood,567.8979789168195,32.44999764884593,31,Medium,Yes,Medium
Concrete,418.5177705166677,41.861473205237274,34,Medium,Yes,Medium
Wood,1431.3219667323706,25.47225070087636,35,Medium,Yes,Medium
Steel,692.0487919742492,56.200059920613946,12,High,Yes,Low
Concrete,477.68079467827226,54.808003041897365,48,Low,No,Low
Steel,658.9519671617498,84.72857251789391,9,Medium,No,Medium
Concrete,1370.2838683250454,91.4436994231169,14,Low,No,Low
Wood,299.1957972632076,65.52494295212938,15,Medium,Yes,Medium
Steel,1461.4423771298216,75.3416241237972,20,High,No,Low
Concrete,1104.239003151456,84.21358080030467,25,High,Yes,Low
Steel,817.5929629778273,32.046049183640484,14,Low,Yes,High
Concrete,485.85314422871755,92.00641256793409,37,Low,No,Low
Steel,310.43896017116015,51.85806322689532,24,High,No,Low
Wood,799.9781904197697,40.44587800099568,45,Low,Yes,High
Steel,1333.5988105878298,49.19818117868987,14,Medium,No,Medium
Steel,434.0195479090142,41.79630200914127,36,High,Yes,Low
Wood,670.1971783343248,26.088147834908774,7,High,Yes,Low
Concrete,1133.1359270621542,87.44375469350555,37,Low,Yes,High
Concrete,529.9624530320108,58.8549819459164,44,Medium,Yes,Medium
Concrete,1267.7599026423673,22.342433639667846,11,Low,No,Low
Wood,465.08198387560765,75.53189745756671,44,High,Yes,Low
Wood,1083.6926229476715,10.600720297189257,42,Low,Yes,High
Steel,169.45162230049786,37.078461831096234,49,Medium,Yes,Medium
Concrete,969.084130041991,41.4092233214503,6,Medium,No,Medium
Concrete,1080.0487505970561,73.62311575085461,12,High,No,Low
Concrete,865.2142465046813,55.7183811894315,26,Medium,No,Medium
Wood,805.2393682109525,24.231453201547197,27,High,No,Low
Steel,1062.1785239738183,58.03734557684892,23,High,Yes,Low
Steel,1218.9726213622791,29.10949854916403,14,Low,Yes,High
Steel,1238.855713584141,78.98204428628537,46,Low,Yes,High
Concrete,1076.872749763565,73.15539375795308,36,High,Yes,Low
Wood,271.5054449555993,53.621825593325596,43,Low,No,Low
Wood,874.0048852029328,91.65722752039304,35,Low,Yes,High
Concrete,335.4413004629507,45.163441438316994,48,Medium,Yes,Medium
Steel,1329.6298963014317,56.83792596355988,39,High,Yes,Low
Wood,594.2607570438513,90.6841275566324,7,High,Yes,Low
Concrete,1131.2549873659063,76.47622111984813,18,Low,No,Low
Steel,1006.8238696516556,38.33700765150161,45,Low,Yes,High
Concrete,721.8580284276973,22.50721383877577,19,High,Yes,Low
Concrete,1106.5811650769797,87.06266403340152,22,Low,No,Low
Concrete,1352.6584720125418,99.94314359157886,42,High,No,Low
Concrete,1168.8814566487797,23.396913474682325,17,Medium,No,Medium
Steel,1434.9964163595146,88.06886475810603,21,Medium,Yes,Medium
Wood,1050.1860550363638,26.670126450803103,21,Low,No,Low
Wood,1183.2502941774176,29.993716590984445,48,High,Yes,Low
Concrete,784.4239287752627,76.52168206530312,44,High,Yes,Low
Wood,787.6920071557081,37.82253860376535,29,High,Yes,Low
Wood,690.6284428648311,76.51974895564362,23,Medium,No,Medium
Wood,363.6486118988262,64.53353520825539,39,Low,Yes,High
Concrete,1474.2252707983012,87.67793758322065,43,Medium,Yes,Medium
Concrete,1147.742250811282,53.28686249105873,24,Medium,No,Medium
Concrete,1422.528672619711,42.76486741258868,42,Low,Yes,High
Steel,326.38030927277657,60.031649879345466,15,High,No,Low
Steel,565.3652476261583,24.633476745989167,28,High,Yes,Low
Wood,627.807425006605,20.920450572926125,31,Low,No,Low
Wood,557.2266635682987,21.2410547843097,33,Medium,No,Medium
Concrete,266.4722429302244,77.54600305445008,17,Low,No,Low
Wood,607.4833154943884,68.66505195780263,21,Low,No,Low
Steel,1309.4108266198905,21.667431412933503,46,Low,No,Low
Concrete,264.469332162848,92.03135344476063,46,Medium,Yes,Medium
Wood,856.9976321820554,58.06996689827244,12,Medium,Yes,Medium
Wood,168.62451269287112,30.599401859598792,22,High,Yes,Low
Concrete,1302.3408894556358,89.73115524455712,17,Medium,No,Medium
Steel,1077.869568012608,85.00701856076344,6,Low,No,Low
Steel,614.5384300886903,32.31053213607288,30,Medium,Yes,Medium
Steel,1126.798936669591,10.302874962797615,43,Low,No,Low
Concrete,814.9982214674017,68.97870848176888,35,Low,No,Low
Steel,172.45522317678788,63.80053838489609,48,Medium,No,Medium
Concrete,220.9969252552218,95.83716078223246,13,Medium,Yes,Medium
Steel,521.7696919083692,83.74652961857873,11,High,No,Low
Steel,845.2167900341169,57.82848419649791,25,High,Yes,Low
Steel,663.9751321766829,74.46473986882404,28,High,No,Low
Wood,364.11433662069896,71.12381766127855,24,High,No,Low
Steel,311.6425911357859,43.767511400279766,20,High,No,Low
Concrete,1056.8680086080644,90.044128559546,37,Low,No,Low
Concrete,201.91088013354718,54.606853212112895,38,Medium,Yes,Medium
Wood,649.6298997207746,69.91407961107214,5,High,Yes,Low
Wood,361.1858069911748,68.80799661541795,11,Low,Yes,High
Wood,1082.526833914799,72.26676678836195,35,High,No,Low
